Start Station Key,Station Name,Station Geometry,Total_x,Total_y,diff,bike-out more than bike-in,station_dock_in_service,Ridership_per_Dock,longitude,latitude
2,Dauphin Ave & 103rd St,POINT (-87.607662678 41.707250368),18.0,,,False,15,0.00612245,-87.607662678,41.707250368000004
3,Cottage Grove Ave & 111th Pl,POINT (-87.610001564 41.691709758),30.0,30.0,0.0,False,15,0.01020408,-87.610001564,41.691709758
4,Vernon Ave & 107th St,POINT (-87.61225998399999 41.700121379),31.0,,,False,14,0.01129738,-87.61225998399998,41.700121379
5,Halsted St & 96th St,POINT (-87.643019557 41.719712184),32.0,26.0,6.0,True,15,0.01088435,-87.643019557,41.719712184
6,Greenwood Ave & 97th St,POINT (-87.597035766 41.718703155),63.0,61.0,2.0,True,15,0.02142857,-87.597035766,41.718703155
8,Halsted St & 104th St,POINT (-87.64242410700001 41.705139789),,,,False,15,0.00510204,-87.64242410700001,41.705139789
10,Indiana Ave & 103rd St,POINT (-87.61847198 41.707170271),66.0,61.0,5.0,True,15,0.02244898,-87.61847198,41.707170271
11,State St & 123rd St,POINT (-87.622586489 41.670643837),,8.0,,False,15,0.00408163,-87.622586489,41.670643837
12,Wentworth Ave & 104th St,POINT (-87.62921690899999 41.705307997),6.0,13.0,-7.0,False,15,0.00204082,-87.62921690899998,41.705307997
13,Michigan Ave & 114th St,POINT (-87.621052265 41.687014795),15.0,21.0,-6.0,False,15,0.00510204,-87.621052265,41.687014795
14,Eberhart Ave & 131st St,POINT (-87.610710897 41.658413151),,,,False,15,0.0037415,-87.610710897,41.658413151
15,Stewart Ave & 83rd St,POINT (-87.63408800000001 41.743717),44.0,46.0,-2.0,False,15,0.01632653,-87.63408800000002,41.743717
16,Prospect Sq & 91st St,POINT (-87.66752390000001 41.7282338),127.0,124.0,3.0,True,15,0.04319728,-87.66752390000002,41.7282338
17,Ashland Ave & 78th St,POINT (-87.663699389 41.752204849),93.0,71.0,22.0,True,15,0.03163265,-87.663699389,41.752204849
18,Halsted St & 78th St,POINT (-87.64390215700001 41.752487012),41.0,43.0,-2.0,False,15,0.01394558,-87.64390215700001,41.752487011999996
19,Loomis Blvd & 84th St,POINT (-87.65841007200001 41.741486529),84.0,85.0,-1.0,False,15,0.02857143,-87.65841007200001,41.741486529
20,Summit Ave & 86th St,POINT (-87.64489978600001 41.737848477),39.0,47.0,-8.0,False,15,0.01360544,-87.64489978600002,41.737848477
21,Elizabeth St & 92nd St,POINT (-87.654290199 41.726798964),104.0,110.0,-6.0,False,15,0.03537415,-87.654290199,41.726798964000004
22,Eggleston Ave & 92nd St,POINT (-87.634828091 41.727575659),,51.0,,False,15,0.01836735,-87.634828091,41.727575659
23,Vincennes Ave & 75th St,POINT (-87.63121 41.75797),60.0,56.0,4.0,True,7,0.04446064,-87.63121,41.75797
24,Shedd Aquarium,POINT (-87.61535539 41.867225957),10868.0,9118.0,1750.0,True,55,1.00853432,-87.61535539,41.867225956999995
25,Michigan Ave & 14th St,POINT (-87.623727 41.864059),8210.0,8028.0,182.0,True,19,2.20542427,-87.623727,41.864059000000005
26,Indiana Ave & Roosevelt Rd,POINT (-87.623041 41.867888),19016.0,18934.0,82.0,True,39,2.4884877,-87.623041,41.867888
27,Wabash Ave & 16th St,POINT (-87.62581299999999 41.860384),5792.0,5668.0,124.0,True,39,0.75784929,-87.62581299999998,41.860384
28,Delano Ct & Roosevelt Rd,POINT (-87.63219000000001 41.86749099999999),3757.0,3489.0,268.0,True,19,1.00886144,-87.63219000000002,41.86749099999999
29,Adler Planetarium,POINT (-87.60726700000001 41.866095),10415.0,9965.0,450.0,True,39,1.36276818,-87.60726700000002,41.866095
30,Wabash Ave & Roosevelt Rd,POINT (-87.625961 41.867227),15468.0,16923.0,-1455.0,False,23,3.43212067,-87.625961,41.867227
31,Wabash Ave & 9th St,POINT (-87.62573399999999 41.870769),11009.0,11086.0,-77.0,False,19,2.95676692,-87.62573399999998,41.870769
32,Field Museum,POINT (-87.617867 41.865312),2467.0,2327.0,140.0,True,55,0.22884972,-87.617867,41.865312
33,State St & Harrison St,POINT (-87.62771600000001 41.874053),4798.0,4948.0,-150.0,False,23,1.06477374,-87.62771600000002,41.874053
34,Michigan Ave & 8th St,POINT (-87.623981 41.872773),10715.0,10357.0,358.0,True,43,1.27159468,-87.623981,41.872772999999995
35,Clark St & 9th St (AMLI),POINT (-87.63124599999999 41.870816),3666.0,3469.0,197.0,True,15,1.24761905,-87.63124599999998,41.870816
36,Michigan Ave & Ida B Wells Dr,POINT (-87.624426 41.876243),3794.0,3488.0,306.0,True,15,1.2914966,-87.624426,41.876243
37,Wells St & Polk St,POINT (-87.63350200000001 41.872596),6599.0,6374.0,225.0,True,19,1.77201933,-87.63350200000002,41.872596
38,Dearborn St & Van Buren St,POINT (-87.62915500000001 41.876268),3177.0,3028.0,149.0,True,15,1.08095238,-87.62915500000003,41.876267999999996
39,Buckingham Fountain,POINT (-87.62054800999999 41.876511229),10482.0,9901.0,581.0,True,39,1.37166405,-87.62054800999998,41.876511229
40,Federal St & Polk St,POINT (-87.62954377299999 41.872077633),9889.0,9962.0,-73.0,False,19,2.65682062,-87.629543773,41.872077633
41,Clark St & Ida B Wells Dr,POINT (-87.630584536 41.875932666),2645.0,2553.0,92.0,True,35,0.38556851,-87.630584536,41.875932666
42,Financial Pl & Ida B Wells Dr,POINT (-87.63309404299999 41.875023628),3418.0,3173.0,245.0,True,31,0.56270573,-87.63309404299999,41.875023628
43,Clark St & Elmdale Ave,POINT (-87.66983360100001 41.990517556),2069.0,2184.0,-115.0,False,15,0.74217687,-87.66983360100002,41.990517556
44,Broadway & Ridge Ave,POINT (-87.66027382899999 41.984044611),4720.0,4676.0,44.0,True,15,1.62619048,-87.66027382899998,41.984044611
45,Clark St & Bryn Mawr Ave,POINT (-87.66915400000001 41.983593),4001.0,4182.0,-181.0,False,15,1.37789116,-87.66915400000002,41.983593
46,Broadway & Thorndale Ave,POINT (-87.66014062100001 41.989742511),4068.0,4344.0,-276.0,False,19,1.12271751,-87.66014062100002,41.989742510999996
47,Lakefront Trail & Bryn Mawr Ave,POINT (-87.652310469 41.984036696),13411.0,13656.0,-245.0,False,19,3.64366273,-87.652310469,41.984036696
48,Broadway & Granville Ave,POINT (-87.660284535 41.994779688),5758.0,5841.0,-83.0,False,23,1.35093168,-87.660284535,41.994779688
49,Damen Ave & Walnut (Lake) St,POINT (-87.677009 41.885951),863.0,1083.0,-220.0,False,15,0.29387755,-87.677009,41.885951
50,Kedzie Ave & Chicago Ave,POINT (-87.706127884 41.895465303),787.0,915.0,-128.0,False,11,0.36502783,-87.706127884,41.895465303
51,Smith Park,POINT (-87.689397 41.892048),877.0,1181.0,-304.0,False,15,0.29829932,-87.689397,41.892047999999996
52,Western Ave & Fillmore St,POINT (-87.686234 41.868563),1972.0,2103.0,-131.0,False,11,0.91512059,-87.686234,41.868563
53,Damen Ave & Chicago Ave,POINT (-87.67721999999999 41.895769),6161.0,6666.0,-505.0,False,19,1.65494092,-87.67721999999998,41.895769
54,Damen Ave & Madison St,POINT (-87.67493 41.88137),1216.0,1223.0,-7.0,False,15,0.41394558,-87.67493,41.881370000000004
55,Ashland Ave & Lake St,POINT (-87.66717 41.88592),2008.0,2055.0,-47.0,False,19,0.54001074,-87.66717,41.88592
56,Wood St & Taylor St (Temp),POINT (-87.67373085 41.869265218),3689.0,3252.0,437.0,True,23,0.81832298,-87.67373085,41.869265218
57,Leavitt St & Chicago Ave,POINT (-87.682017 41.895501),2902.0,2900.0,2.0,True,15,0.98707483,-87.682017,41.895501
58,Fairfield Ave & Roosevelt Rd,POINT (-87.69452099999999 41.866624),344.0,391.0,-47.0,False,11,0.15955473,-87.69452099999998,41.866624
59,Hermitage Ave & Polk St,POINT (-87.66988600000001 41.871514),2831.0,2784.0,47.0,True,15,0.96292517,-87.66988600000002,41.871514000000005
60,Wolcott Ave & Polk St,POINT (-87.673688 41.871262),5194.0,4783.0,411.0,True,22,1.20454545,-87.673688,41.871262
61,Paulina St & Flournoy St,POINT (-87.66913000000001 41.87295),4596.0,3889.0,707.0,True,31,0.7564187,-87.66913000000002,41.87295
62,Ogden Ave & Congress Pkwy,POINT (-87.67328000000001 41.87501),1099.0,997.0,102.0,True,15,0.37380952,-87.67328000000002,41.875009999999996
63,Malcolm X College,POINT (-87.673895 41.877618),622.0,586.0,36.0,True,19,0.1670247,-87.673895,41.877618
64,California Ave & Lake St,POINT (-87.69629813700001 41.884453957),484.0,504.0,-20.0,False,11,0.22541744,-87.69629813700001,41.884453957
65,Sacramento Blvd & Franklin Blvd,POINT (-87.70260751200001 41.890468792),335.0,357.0,-22.0,False,11,0.15538033,-87.70260751200001,41.890468792
66,Western Ave & Monroe St,POINT (-87.68611280799999 41.879787709),1500.0,1648.0,-148.0,False,15,0.51020408,-87.68611280799999,41.879787709
67,Artesian Ave & Hubbard St,POINT (-87.68821936499999 41.88949182),1519.0,1382.0,137.0,True,35,0.22230321,-87.68821936499998,41.88949182
68,Western Ave & Congress Pkwy,POINT (-87.686445276 41.874748851),1899.0,1955.0,-56.0,False,19,0.50993555,-87.686445276,41.874748851
69,Kedzie Ave & Harrison St,POINT (-87.70487074899999 41.873599675),163.0,188.0,-25.0,False,11,0.07606679,-87.70487074899998,41.873599675
70,Ashland Ave & 74th St,POINT (-87.663474083 41.759236024),23.0,23.0,0.0,False,15,0.00782313,-87.663474083,41.759236024
71,Ashland Ave & 66th St,POINT (-87.663815 41.774074),48.0,42.0,6.0,True,7,0.03790087,-87.663815,41.774074
72,Damen Ave & 59th St,POINT (-87.67416700000001 41.78602),118.0,128.0,-10.0,False,11,0.05519481,-87.67416700000003,41.78602
73,Ashland Ave & Garfield Blvd,POINT (-87.664429 41.79282199999999),116.0,109.0,7.0,True,11,0.05473098,-87.664429,41.792821999999994
74,Marshfield Ave & 59th St,POINT (-87.66621500000001 41.786833),33.0,21.0,12.0,True,11,0.01530612,-87.66621500000002,41.786833
75,Ashland Ave & 63rd St,POINT (-87.664843 41.779374),76.0,82.0,-6.0,False,11,0.03617811,-87.664843,41.779374
76,Elizabeth St & 59th St,POINT (-87.65585899999999 41.786691),,28.0,,False,7,0.01676385,-87.65585899999998,41.786691
77,Stewart Ave & 63rd St,POINT (-87.63477399999999 41.779835),62.0,65.0,-3.0,False,11,0.02922078,-87.63477399999998,41.779835
78,Carpenter St & 63rd St,POINT (-87.65091899999999 41.77987),,18.0,,False,7,0.01530612,-87.65091899999999,41.77987
79,Eggleston Ave & 69th St,POINT (-87.635876 41.768898),88.0,95.0,-7.0,False,11,0.04128015,-87.635876,41.768898
80,Halsted St & 73rd St,POINT (-87.64416097700001 41.761605438),31.0,35.0,-4.0,False,15,0.01054422,-87.64416097700001,41.761605438000004
81,May St & 69th St,POINT (-87.652934 41.768938),44.0,48.0,-4.0,False,11,0.02087199,-87.652934,41.768938
82,Racine Ave & 65th St,POINT (-87.654308 41.775393),58.0,60.0,-2.0,False,11,0.02782931,-87.654308,41.775393
83,Halsted St & 59th St,POINT (-87.644874 41.787539),72.0,61.0,11.0,True,11,0.03339518,-87.644874,41.787539
84,Racine Ave & 61st St,POINT (-87.654372 41.783189),28.0,17.0,11.0,True,11,0.01298701,-87.654372,41.783189
85,Halsted St & 56th St,POINT (-87.644990057 41.792929646),63.0,65.0,-2.0,False,11,0.02922078,-87.644990057,41.792929646
86,Halsted St & 63rd St,POINT (-87.644620815 41.779381142),212.0,194.0,18.0,True,11,0.09972171,-87.644620815,41.779381142
87,Wentworth Ave & 63rd St,POINT (-87.629746305 41.780079633),123.0,122.0,1.0,True,11,0.05797774,-87.629746305,41.780079633
88,Halsted St & 69th St,POINT (-87.64461357799999 41.76906172),72.0,68.0,4.0,True,11,0.033859,-87.64461357799999,41.76906172
89,Perry Ave & 69th St,POINT (-87.628195929 41.76929309),130.0,131.0,-1.0,False,11,0.06076067,-87.628195929,41.76929309
90,Oglesby Ave & 100th St,POINT (-87.565841675 41.713397484),38.0,46.0,-8.0,False,15,0.01292517,-87.565841675,41.713397484
92,East End Ave & 87th St,POINT (-87.58280128200001 41.736815214),41.0,44.0,-3.0,False,15,0.01394558,-87.582801282,41.736815214
93,Baltimore Ave & 87th St,POINT (-87.54851460499999 41.7373356),70.0,63.0,7.0,True,15,0.02380952,-87.54851460499998,41.7373356
94,Ewing Ave & Burnham Greenway,POINT (-87.53481388100001 41.712748761),,,,False,11,0.0041744,-87.53481388100002,41.712748761
95,Houston Ave & 92nd St,POINT (-87.549700141 41.728204215),55.0,66.0,-11.0,False,15,0.01870748,-87.549700141,41.728204215
96,Big Marsh Park,POINT (-87.573823929 41.685877056),,,,False,15,0.01122449,-87.573823929,41.685877056
97,Marquette Ave & 89th St,POINT (-87.55834221799999 41.733668791),27.0,39.0,-12.0,False,15,0.00918367,-87.55834221799999,41.733668791
98,Bradley Park,POINT (-87.564591765 41.717878302),,,,False,11,0.00185529,-87.564591765,41.717878301999995
99,Torrence Ave & 106th St,POINT (-87.559726238 41.70280085),,,,False,15,0.0047619,-87.559726238,41.70280085
100,Clyde Ave & 87th St,POINT (-87.57274031600001 41.737151464),10.0,8.0,2.0,True,15,0.00340136,-87.57274031600002,41.737151464
101,Constance Ave & 95th St,POINT (-87.578968406 41.722290741),21.0,20.0,1.0,True,15,0.00714286,-87.578968406,41.722290741
102,Avenue O & 118th St,POINT (-87.53793122299999 41.681001459),,,,False,15,0.00204082,-87.53793122299999,41.681001459
103,Burnham Greenway & 105th St,POINT (-87.52823174 41.70457508699999),,,,False,11,0.00927644,-87.52823174,41.704575086999995
104,Phillips Ave & 83rd St,POINT (-87.56506 41.744531),182.0,178.0,4.0,True,11,0.08441558,-87.56506,41.744531
105,Exchange Ave & 79th St,POINT (-87.552812 41.751731),154.0,156.0,-2.0,False,11,0.07142857,-87.552812,41.751731
106,Stony Island Ave & South Chicago Ave,POINT (-87.585337 41.751173),132.0,132.0,0.0,False,11,0.06122449,-87.585337,41.751173
107,South Chicago Ave & 83rd St,POINT (-87.575225 41.743921),66.0,57.0,9.0,True,11,0.03061224,-87.575225,41.743921
108,South Chicago Ave & Elliot Ave,POINT (-87.580046 41.747363),27.0,23.0,4.0,True,7,0.0196793,-87.580046,41.747363
109,Commercial Ave & 83rd St,POINT (-87.551208 41.744615),198.0,217.0,-19.0,False,11,0.09230056,-87.551208,41.744615
110,State St & 54th St,POINT (-87.625923 41.796642),155.0,166.0,-11.0,False,11,0.07189239,-87.625923,41.796642
111,Union Ave & Root St,POINT (-87.64327800000001 41.819102),466.0,469.0,-3.0,False,11,0.21660482,-87.64327800000002,41.819102
112,Racine Ave & Garfield Blvd,POINT (-87.655073 41.794228),222.0,246.0,-24.0,False,11,0.1038961,-87.655073,41.794228000000004
113,Western Blvd & 48th Pl,POINT (-87.683392 41.805661),238.0,282.0,-44.0,False,11,0.11038961,-87.683392,41.805661
114,Elizabeth St & 47th St,POINT (-87.656526 41.80839),86.0,73.0,13.0,True,11,0.03988868,-87.656526,41.80839
115,Archer (Damen) Ave & 37th St,POINT (-87.683144 41.826712),518.0,562.0,-44.0,False,11,0.24025974,-87.683144,41.826712
116,Damen Ave & 51st St,POINT (-87.674684 41.800908),66.0,75.0,-9.0,False,7,0.04810496,-87.674684,41.800908
117,Throop St & 52nd St,POINT (-87.657195 41.79965900000001),78.0,77.0,1.0,True,7,0.05685131,-87.657195,41.79965900000001
118,Princeton Ave & Garfield Blvd,POINT (-87.633124 41.794982),164.0,155.0,9.0,True,11,0.07606679,-87.633124,41.794982
119,Halsted St & 37th St,POINT (-87.64572 41.82705900000001),511.0,509.0,2.0,True,11,0.23701299,-87.64572,41.82705900000001
120,Wentworth Ave & 35th St,POINT (-87.632504 41.830777),411.0,379.0,32.0,True,15,0.13979592,-87.632504,41.830777000000005
121,Marshfield Ave & 44th St,POINT (-87.666589 41.813996),120.0,141.0,-21.0,False,11,0.05565863,-87.666589,41.813996
122,Halsted St & 35th St,POINT (-87.647172 41.830661),982.0,1002.0,-20.0,False,15,0.33401361,-87.647172,41.830661
123,Damen Ave & Pershing Rd,POINT (-87.676597 41.823192),517.0,506.0,11.0,True,11,0.24165121,-87.676597,41.823192
124,Seeley Ave & Garfield Blvd,POINT (-87.675478 41.794087),94.0,87.0,7.0,True,11,0.04359926,-87.675478,41.794087
125,Morgan St & Pershing Rd,POINT (-87.650931 41.823613),106.0,117.0,-11.0,False,7,0.07725948,-87.650931,41.823613
126,Hoyne Ave & 47th St,POINT (-87.67718000000001 41.808227),181.0,217.0,-36.0,False,11,0.08487941,-87.67718000000002,41.808227
127,Wallace St & 35th St,POINT (-87.64129 41.83062899999999),1010.0,1063.0,-53.0,False,15,0.34353741,-87.64129,41.83062899999999
128,Ashland Ave & McDowell Ave,POINT (-87.66454 41.80887),163.0,162.0,1.0,True,11,0.07560297,-87.66454,41.80887
129,Ashland Ave & 50th St,POINT (-87.664699 41.803023),93.0,107.0,-14.0,False,11,0.04406308,-87.664699,41.803022999999996
130,Ashland Ave & Pershing Rd,POINT (-87.665577 41.823465),210.0,198.0,12.0,True,11,0.0974026,-87.665577,41.823465
131,Wood St & 35th St,POINT (-87.670298309 41.830104654),545.0,586.0,-41.0,False,11,0.25649351,-87.670298309,41.830104654
132,Halsted St & 51st St,POINT (-87.645213904 41.80183164),82.0,93.0,-11.0,False,11,0.03896104,-87.645213904,41.80183164
133,State St & Pershing Rd,POINT (-87.62656801799999 41.823015238),323.0,298.0,25.0,True,11,0.15027829,-87.62656801799999,41.823015238
134,Shields Ave & 43rd St,POINT (-87.63481935 41.816207679),,28.0,,False,11,0.014842300000000001,-87.63481935,41.816207679
135,Halsted St & 47th Pl,POINT (-87.645616554 41.808133915),421.0,419.0,2.0,True,11,0.19526902,-87.645616554,41.808133915
136,Princeton Ave & 47th St,POINT (-87.63344928799999 41.809317709),277.0,238.0,39.0,True,11,0.12847866,-87.633449288,41.809317709
137,Leavitt St & Archer Ave,POINT (-87.68060445899999 41.82879202),483.0,536.0,-53.0,False,15,0.16428571,-87.68060445899998,41.82879202
138,Eberhart Ave & 91st St,POINT (-87.611829489 41.729267142),84.0,83.0,1.0,True,15,0.02857143,-87.611829489,41.729267142
139,Michigan Ave & 71st St,POINT (-87.621748 41.765286),71.0,92.0,-21.0,False,7,0.05247813,-87.621748,41.765285999999996
140,State St & 95th St,POINT (-87.62285440000001 41.7218499),67.0,51.0,16.0,True,15,0.02278912,-87.62285440000002,41.7218499
141,Dauphin Ave & 87th St,POINT (-87.60125756299999 41.73655902300001),28.0,21.0,7.0,True,15,0.00952381,-87.60125756299999,41.736559023000005
142,Greenwood Ave & 91st St,POINT (-87.59729862200001 41.728264268),19.0,24.0,-5.0,False,15,0.00646259,-87.59729862200001,41.728264268000004
143,Stony Island Ave & 90th St,POINT (-87.585743666 41.73139494300001),23.0,23.0,0.0,False,15,0.00782313,-87.585743666,41.731394943000005
144,Wabash Ave & 83rd St,POINT (-87.622849 41.743316),110.0,110.0,0.0,False,11,0.05148423,-87.622849,41.743316
145,Ellis Ave & 83rd St,POINT (-87.599034 41.74412299999999),116.0,111.0,5.0,True,11,0.05426716,-87.599034,41.74412299999999
146,Wabash Ave & 87th St,POINT (-87.62263399999999 41.736646),178.0,200.0,-22.0,False,11,0.08348794,-87.62263399999998,41.736646
147,Vernon Ave & 79th St,POINT (-87.61379000000001 41.75094),92.0,88.0,4.0,True,11,0.04359926,-87.61379000000002,41.75094
148,MLK Jr Dr & 83rd St,POINT (-87.6148 41.743116),95.0,89.0,6.0,True,11,0.04406308,-87.6148,41.743116
149,Cottage Grove Ave & 78th St,POINT (-87.605026 41.753174),201.0,199.0,2.0,True,11,0.09508349,-87.605026,41.753174
150,Greenwood Ave & 79th St,POINT (-87.59755200000001 41.751294),155.0,186.0,-31.0,False,11,0.07235622,-87.59755200000002,41.751294
151,Vernon Ave & 75th St,POINT (-87.614138 41.758361),131.0,137.0,-6.0,False,11,0.06168831,-87.614138,41.758361
152,Stony Island Ave & 82nd St,POINT (-87.586005 41.746559),159.0,149.0,10.0,True,11,0.07374768,-87.586005,41.746559000000005
153,Evans Ave & 75th St,POINT (-87.60641 41.75849),105.0,98.0,7.0,True,7,0.07653061,-87.60641,41.75849
154,Cottage Grove Ave & 83rd St,POINT (-87.60483599999999 41.743441),194.0,208.0,-14.0,False,11,0.09044527,-87.60483599999998,41.743441
155,Cottage Grove Ave & 71st St,POINT (-87.60495971299999 41.765719037),61.0,57.0,4.0,True,11,0.02875696,-87.60495971299999,41.765719037
156,Woodlawn Ave & 75th St,POINT (-87.59575100000001 41.75915999999999),59.0,48.0,11.0,True,11,0.02736549,-87.59575100000002,41.75915999999999
157,State St & 79th St,POINT (-87.624424 41.750794),177.0,172.0,5.0,True,11,0.08209647,-87.624424,41.750794
158,State St & 76th St,POINT (-87.62462099999999 41.756971),47.0,36.0,11.0,True,11,0.02179963,-87.62462099999998,41.756971
159,Stony Island Ave & 75th St,POINT (-87.586882871 41.75866967),226.0,283.0,-57.0,False,11,0.10482375,-87.586882871,41.75866967
160,Calumet Ave & 71st St,POINT (-87.616917925 41.765508006),134.0,138.0,-4.0,False,11,0.06261596,-87.616917925,41.765508006
161,Ellis Ave & 53rd St,POINT (-87.600958115 41.799336263),2829.0,2710.0,119.0,True,11,1.31215213,-87.600958115,41.799336263
162,Lake Park Ave & 53rd St,POINT (-87.586449896 41.799494294),3644.0,3703.0,-59.0,False,15,1.23945578,-87.586449896,41.799494294
163,Kimbark Ave & 53rd St,POINT (-87.594747 41.799568),5445.0,5568.0,-123.0,False,19,1.46267454,-87.594747,41.799568
164,Prairie Ave & Garfield Blvd,POINT (-87.618691 41.794853),388.0,396.0,-8.0,False,11,0.18135436,-87.618691,41.794853
165,Cottage Grove Ave & 51st St,POINT (-87.60661500000001 41.803038),1304.0,1318.0,-14.0,False,15,0.44421769,-87.60661500000002,41.803038
166,Lake Park Ave & 47th St,POINT (-87.591875 41.809443),2000.0,1981.0,19.0,True,15,0.68061224,-87.591875,41.809443
167,Cornell Ave & Hyde Park Blvd,POINT (-87.586924 41.802406),5415.0,5326.0,89.0,True,19,1.45461869,-87.586924,41.802406
168,Woodlawn Ave & 55th St,POINT (-87.59647099999999 41.795264),2484.0,2404.0,80.0,True,19,0.66756176,-87.59647099999998,41.795264
169,Blackstone Ave & Hyde Park Blvd,POINT (-87.59036800000001 41.802562),3490.0,3357.0,133.0,True,19,0.93743287,-87.59036800000001,41.802562
